,name,country,price_usd,soft_cap_usd,hard_cap_usd,distributed_in_ico,token_for_sale,whitelist,kyc,bonus,restricted_areas,bounty,mvp,pre_ico_price_usd,platform,accepting,link_provided,ico_period,pre_ico_period
342,Bitmart,Cayman Islands,0.01,12919200,38757601,0.3,300000000.0,Not Specified,Not Specified,Unavailable,1,Unavailable,Unavailable,0.0653988203636364,Ethereum,ETH,Yes,19,5
343,Sarf,Belize,0.015,2000000,10600000,0.375,750000000.0,No,No,Unavailable,1,Available,Available,0.01,Ethereum,"ETH, BTC, LTC, Dash, XRP",Yes,32,21
344,Fatum,Hong Kong,9.5706,1114005,4388508,0.6,412500000.0,Yes,Yes,Unavailable,1,Unavailable,Unavailable,0.009738569339233479,Ethereum,ETH,Yes,38,35
345,Game Stars,Seychelles,0.035,2000000,7500000,0.65,325000000.0,No,No,Unavailable,2,Available,Available,0.035,Ethereum,"ETH, BTC",Yes,60,7
346,Node,Latvia,1.0,1000000,10000000,0.55,9250000.0,Not Specified,Not Specified,Unavailable,1,Available,Unavailable,1.0,Ethereum,"ETH, BTC",Yes,59,31
347,DeFund Project,Italy,0.006,510847,2554695,0.9,450000000.0,No,No,Unavailable,1,Unavailable,Unavailable,0.00906901867924528,Ethereum,ETH,Yes,30,15
348,EBCoin,Singapore,0.043,150000000,600000000,0.5,750000000.0,Not Specified,Not Specified,Unavailable,1,Unavailable,Unavailable,0.012591535942028999,Ethereum,ETH,Yes,28,31
349,Filmgrid,Mexico,0.072530210853,13000000,21000000,0.8,800000000.0,Yes,No,Unavailable,1,Unavailable,Unavailable,0.041697038046,Ethereum,ETH,Yes,396,30
350,Inmediate,Singapore,0.04,4000000,16000000,0.4,400000000.0,Yes,Yes,Unavailable,2,Unavailable,Unavailable,0.04,Zilliqa,"BTC, ETH",Yes,19,7
351,Seal,Netherlands,0.7,3000000,33000000,0.41,492000000.0,No,Yes,Unavailable,2,Unavailable,Unavailable,0.08,Ethereum,ETH,Yes,14,27
352,Zodiaq,Russia,0.2,1500000,24535000,0.8,240000000.0,Yes,Yes,Unavailable,5,Available,Available,0.1,Ethereum,"BTC , ETH",Yes,30,33
353,Blupass ICO,USA,0.0118,500000,25000000,0.6,4000000000.0,Yes,Yes,Unavailable,1,Available,Unavailable,0.0354435486,Ethereum,ETH,Yes,138,30
354,CGCX,Singapore,0.051,5000000,1000000000,0.5,1000000000.0,Yes,Yes,Unavailable,13,Available,Unavailable,0.0792485854117647,Ethereum,"ETH, BTC",Yes,59,24
