"name","country","ico_start","ico_end","price_usd","soft_cap_usd","hard_cap_usd","distributed_in_ico","token_for_sale","whitelist","kyc","bonus","restricted_areas","bounty","mvp","pre_ico_start","pre_ico_end","pre_ico_price_usd","platform","accepting","link_provided"
"CRYPTO TRON EXCHANGE AND SHOP","Thailand","2020-05-24","2020-07-24","10.0","3000000","30000000","0.8","5600000.0","No","Yes","Unavailable","None","Unavailable","Unavailable","2020-03-10","2020-05-24","7.0","TRON","USD, EUR, THB, BTC, TRX, ETH","No"
"ForgeCDN","Croatia","2018-04-30","2018-06-02","0.597","1000000","25000000","0.77","4.74089E7","Not Specified","Not Specified","Unavailable","None","Unavailable","Unavailable","2018-04-02","2018-04-29","0.257616658666667","Ethereum",,"Yes"
"BGX","Switzerland","2018-09-05","2018-10-03","0.1","4000000","50000000","0.5","5.0E8","Yes","Yes","Unavailable","USA, Canada","Available","Available","2018-05-08","2018-05-14","0.07","Ethereum","ETH, BTC, LTC, Fiat","Yes"
"FinTab","Cyprus","2017-12-10","2018-01-30","0.4","63000","200000","0.727","1.2E7","No","No","Unavailable","No","Unavailable","Unavailable","2017-10-12","2017-11-12","0.25","Ethereum",,"Yes"
"carboneum","Singapore","2018-06-25","2018-07-07","0.1","1200000","12000000","0.6","1.2E8","Yes","Yes","Unavailable","USA, China","Available","Unavailable","2018-03-08","2018-04-22","0.1","Ethereum","ETH","Yes"
"Clarity","UK","2019-02-14","2020-02-27","214.2881","907013","23582353","0.75","1.2E8","Yes","Yes","Unavailable","China, South Korea","Available","Unavailable","2018-11-03","2019-01-05","0.08","Ethereum","ETH, LTC, BTC, BCH","Yes"
"Kasko2go","Switzerland","2018-06-12","2018-06-25","0.1178","3498420","25655080","0.67","4.0E8","Yes","Yes","Unavailable","USA, China, North Korea, Iran","Unavailable","Unavailable","2018-07-01","2018-06-30","0.116614","Ethereum","BTC, ETH, Fiat","Yes"
"Pool of Stake","Switzerland","2018-07-20","2018-09-30","0.348","2327476","9309904","0.7609999999999999","5.3245907E7","No","Yes","Unavailable","USA, China, Canada, Israel, South Korea, Vietnam","Available","Available","2018-06-18","2018-07-20","0.2551109","Ethereum","ETH","Yes"
"Presale Ventures","Israel","2018-11-15","2019-01-15","0.2988","366098","3660981","0.6","2.4E7","No","No","Unavailable","USA, China, Singapore, Israel","Available","Available","2018-05-05","2018-09-03","0.317867036263736","Ethereum","ETH","Yes"
"4ARTechnologies","Switzerland","2018-08-31","2019-03-30","0.3499","16845030","280750500","0.2623","1.7049E9","Yes","Yes","Unavailable","USA","Unavailable","Unavailable","2018-07-09","2018-08-31","0.2341948","Ethereum","ETH, BTC, Fiat","Yes"
"Coinstantine","Netherlands","2019-10-01","2019-11-30","0.25","610158","9152381","0.9","1.0E8","No","No","Unavailable","None","Available","Available","2019-07-01","2019-08-15","0.143544416923077","Ethereum","ETH, BNB","Yes"
"FortFC","Russia","2019-02-16","2019-07-31","0.2259","2231594","27894925","0.77","2.31E8","Yes","Yes","Unavailable","USA","Available","Available","2018-11-12","2019-02-15","0.1132503","Ethereum","BTC, ETH, Fiat","Yes"
"Bitsive Exchange","USA","2018-09-01","2019-02-02","1.58","500000","10000000","0.89","8.9E7","Yes","No","Unavailable","None","Unavailable","Unavailable","2018-07-09","2018-08-30","0.79","Ethereum","BTC, ETH","Yes"
"Investa","UK","2018-07-01","2018-08-31","1.0","1000000","30000000","0.6","3.0E7","No","Yes","Unavailable","USA","Available","Available","2018-05-01","2018-06-30","0.4","Ethereum","BTC, ETH, LTC, Fiat","Yes"
"Sportco","Cyprus","2018-08-01","2018-08-31","0.05","150000","24000000","0.5","5.0E8","No","Yes","Unavailable","USA","Unavailable","Unavailable","2018-06-05","2018-07-31","0.04","Ethereum","ETH","Yes"
"TravelBlock","Canada","2018-06-18","2018-07-18","0.14","4500000","28200000","0.4","6.0E8","No","No","Unavailable","USA, China","Unavailable","Unavailable","2018-03-03","2018-04-14","0.115","Ethereum","ETH","Yes"
"Cremit","Poland","2018-09-01","2019-04-30","0.75","90000000","8500000","0.4","8.4E7","No","No","Unavailable","USA, China","Unavailable","Unavailable","2018-06-15","2018-10-31","0.3","Ethereum","BTC","Yes"
"Ophelius Labs","USA","2019-08-01","2020-02-15","0.35","350000","15000000","0.21","4.2857143E7","Yes","Yes","Unavailable","Cuban, Iran, LebaNonen, Libya, North Korea, Somalia, South Sudan, Sudan, Syria, Venezuela, Yemen","Unavailable","Unavailable","2019-07-15","2019-07-31","0.35","Ethereum","ETH, USD","Yes"
"iOlite","Estonia","2018-04-12","2018-05-01","0.0221","1000000","12500000","0.65","6.5E8","Yes","Yes","Unavailable","USA, Singapore, China, Vietnam, Hong Kong, Canada, Japan, Korea","Available","Unavailable","2018-03-20","2018-04-10","0.01768","iOlite Blockchain","ETH","Yes"
"CoinFast","Turkey","2018-12-01","2018-12-31","0.14","250000","1000000","0.57","7.0E7","Yes","No","Unavailable","USA","Available","Available","2018-10-01","2018-11-30","0.07","Ethereum","BTC, ETH, LTC, DASH","Yes"
"DENcoin","Nigeria","2019-06-01","2019-06-30","0.01","3000000","1000000","0.4","2.0E7","Yes","Yes","Unavailable","NIL","Available","Available","2019-05-01","2019-05-31","0.09","Ethereum","ETH","Yes"
"MyTVchain","France","2020-02-29","2020-03-27","0.067","1000000","10000000","0.11","4.0E8","Yes","Yes","Unavailable","USA","Available","Available","2020-02-15","2020-02-28","0.005","Ethereum","BTC, ETH, LTC, DASH, USD, EUR","Yes"
"The Silverlink Network","Singapore","2020-04-01","2020-05-31","0.745990036","461951","2309757","0.22","2000000.0","No","Yes","Unavailable","None","Unavailable","Unavailable","2019-07-10","2019-09-10","1.3050104355","Ethereum","ETH","Yes"
"Carna Life","UK","2019-02-15","2019-04-14","0.03","2000000","50000000","0.48","4.8E9","No","Yes","Unavailable","USA, China","Unavailable","Available","2019-01-14","2019-02-14","0.02","Ethereum","ETH, BTC","Yes"
"Gturbo","Russia","2018-11-26","2018-12-26","0.05","5000000","30000000","0.92","4.16E8","Yes","Yes","Unavailable","USA, UK, Singapore, Hong Kong, South Korea, Gibraltar, Switzerland","Unavailable","Available","2018-11-04","2018-11-18","0.05","Ethereum","BTC, ETH","Yes"
"Negexc","Indonesia","2019-06-01","2019-08-31","0.001","780770","2603086","0.47","1.551E9","No","No","Unavailable","China, USA","Available","Unavailable","2019-05-16","2019-05-26","0.001466707610555","Ethereum","ETH, BTC","Yes"
"Truefeedback","Turkey","2019-06-28","2019-07-08","2.0E-4","200000","770000","0.31","3.1E9","No","No","Unavailable","USA, Puerto Rico, the U.S. Virgin islands , Singapore, Canada, China,Cuba, Iraq, Sryia.","Unavailable","Available","2019-04-01","2019-04-15","1.5E-4","Ethereum","ETH","Yes"
"WeevoCity","Bulgaria","2018-04-26","2018-06-25","0.046","200000000","500000000","0.45","4.95E7","No","No","Unavailable","None","Unavailable","Unavailable","2018-03-26","2018-04-25","0.02449754945","Ethereum","ETH, BTC, Fiat","Yes"
"Bayan Token","Singapore","2018-06-27","2018-10-27","0.8","10000000","35000000","0.89","1.78E8","No","Yes","Unavailable","None","Available","Unavailable","2018-05-08","2018-06-26","0.7","Ethereum","BTC, BCH, DASH, ETH, LTC, XRP","Yes"
"Matrix-coin","France","2019-10-01","2019-10-30","0.01","3000000","27000000","0.21","2.0E9","No","No","Unavailable","China, Afghanistan, Syria","Unavailable","Unavailable","2019-09-04","2019-09-30","0.007","X11 blockchain","BTC , ETH , LTC , DOGE","Yes"
"Tradove B2BCoin","USA","2018-02-01","2018-02-28","0.16","2000000","52000000","0.15","5.0E8","Not Specified","Not Specified","Unavailable","None","Unavailable","Unavailable","2017-10-26","2018-02-01","0.12","Ethereum","BTC, ETH, Fiat","No"
"ELPIS","Switzerland","2018-08-06","2018-10-11","0.08","1000000","10000000","0.78","1.95E8","Yes","Yes","Unavailable","USA, China","Unavailable","Unavailable","2018-07-01","2018-08-06","0.06","Ethereum","ETH","Yes"
"ImmVRse","UK","2018-07-07","2018-09-07","0.2","5000000","2172030","0.3333","3.0E8","Yes","Yes","Unavailable","USA","Available","Unavailable","2018-06-19","2018-06-28","0.053795697","Ethereum","ETH","Yes"
"NiMEDix ecosystem","Nigeria","2020-05-01","2020-08-31","0.1","1000000","10000000","0.5","1.0E8","Yes","Yes","Unavailable","Iran, Afghanistan","Available","Unavailable","2019-11-01","2020-01-31","0.1","Ethereum","ETH, BTC","Yes"
"ARC-IRIS","UK","2020-01-01","2020-04-30","0.1","1000000","15000000","0.75","7.5E8","No","Yes","Unavailable","USA, Syria, Philippines, Iran, Iraq","Available","Unavailable","2019-12-01","2019-12-31","0.025","Separate Blockchain","ETH, BTC, LTC, Dash, Monero, ZEC, USDT","Yes"
"Gese","Cyprus","2019-04-15","2019-05-01","0.0405","614004","7894572","0.65","5.0E7","Yes","Yes","Unavailable","None","Available","Available","2019-03-15","2019-04-15","0.125","Ethereum","ETH, BTC","Yes"
"GoChain","Saint Kitts and Nevis","2018-05-03","2018-05-02","0.0453","1717872","18209448","0.5","5.0E8","Yes","Yes","Unavailable","USA, Canada","Unavailable","Unavailable","2018-05-01","2018-05-07","0.0354435486","Ethereum","ETH","Yes"
"STYRAS","Switzerland","2017-11-28","2017-12-30","0.158","840000","200000000","0.9","2.0E8","Not Specified","Not Specified","Unavailable","None","Unavailable","Unavailable","2017-11-21","2017-11-27","0.09010025025","Ethereum","ETH","Yes"
"TonerCoin","Russia","2018-12-01","2018-12-31","0.55","50000","3850000","0.765","1.4E7","No","No","Unavailable","None","Unavailable","Unavailable","2018-11-01","2018-11-30","0.1","Ethereum","ETH","Yes"
"Tryvium","Malta","2019-02-03","2019-03-03","0.038","1300000","21600000","0.6","5.4E8","No","No","Available","USA, China, Singapore, Bangladesh, Nepal, Macedonia, Bolivia, Ecuador, Pakistan, Algeria, Morocco","Unavailable","Available","2019-01-03","2019-01-31","0.032","Ethereum","ETH","Yes"
"Bet On Chart","Czech Republic","2018-09-01","2018-10-01","0.2953","1153840","11538400","0.7","3.5E7","Yes","Yes","Unavailable","USA, Singapore, China","Available","Available","2018-05-01","2018-09-01","0.2296","Ethereum","ETH, BTC, LTC, XEM","Yes"
"EVO","Russia","2018-08-15","2018-09-15","0.8","4000000","8500000","0.54","5.4E7","No","Yes","Unavailable","None","Available","Unavailable","2018-05-01","2018-07-31","0.8","Ethereum","ETH, BTC, LTC","Yes"
"Ready Play Go","Philippines","2019-02-01","2018-09-16","0.021","6666667","38888889","0.27","1.81591431E9","Yes","Yes","Available","None","Unavailable","Unavailable","2018-07-21","2018-09-15","0.021","NEM","XEM, ETH, BTC, Fiat","Yes"
"Wall Street Coin","United Arab Emirates","2018-04-25","2018-06-20","0.9","2000000","70000000","0.75","7.0E7","No","No","Unavailable","USA, China, Singapore","Available","Unavailable","2018-03-28","2018-04-25","0.5","Ethereum","BTC, ETH, LTC","Yes"
"ADAMANT Messenger","Ireland","2018-01-30","2018-06-30","0.174","500000","8000000","0.75","7.35E7","No","No","Unavailable","None","Unavailable","Unavailable","2017-12-14","2018-01-25","0.695815979","Lisk","ETH, BTC, BCH, DASH, DOGE, LTC, XMR, ETC, ZEC, LSK","Yes"
"BankDex","Hong Kong","2019-06-24","2019-10-23","0.019","1000000","6500000","0.45","4.5E8","No","No","Unavailable","None","Unavailable","Unavailable","2019-06-24","2019-08-05","0.019","Ethereum","BTC, ETH, USDT, BCH","Yes"
"CMBT","Brazil","2018-06-11","2018-06-30","0.94","3700000","18000000","0.37","2.4324325E7","Yes","Yes","Unavailable","None","Unavailable","Unavailable","2018-06-01","2018-06-10","0.84","Ethereum","ETH, BTC","Yes"
"Patron","Japan","2018-03-27","2018-05-09","0.5","4000000","35000000","0.6","2.4E8","No","Yes","Unavailable","None","Unavailable","Unavailable","2018-02-14","2018-03-14","0.28","Ethereum","ETH, BTC, LTC","Yes"
"Spiking","Cayman Islands","2018-12-12","2018-12-24","0.01","2000000","32500000","0.65","3.25E9","Yes","Yes","Unavailable","USA, China, Korea, Ethiopia, Iran, Iraq, Pakistan, Serbia, Sri Lanka, Syria, Trinidad and Tobago, Tunisia, Vanuatu and Yemen","Available","Available","2018-05-09","2018-10-25","0.01","Ethereum","ETH","Yes"
"The GlobeToken Project","South Africa","2018-05-21","2018-08-05","0.0024","3000000","50000000","0.95","7.22E9","No","No","Unavailable","USA, China","Unavailable","Unavailable","2018-05-07","2018-05-20","0.00395702","Stellar","XLM","Yes"
"Helveticoin","Switzerland","2018-03-03","2018-04-12","0.0171","783371","10444955","0.45","2.0E9","Yes","Yes","Unavailable","USA, China, Singapore","Unavailable","Unavailable","2018-02-23","2018-03-03","0.04","Ethereum","ETH, BTC, LTC, NEO","No"
"MEDoctor","Switzerland","2018-11-01","2019-07-31","1.0","3000000","50000000","0.581","5.39E7","No","No","Unavailable","USA","Available","Available","2018-10-10","2018-10-31","0.7","Ethereum","BTC, BCH, ETH, LTC, DASH","Yes"
"Nickelcoin","Australia","2018-04-26","2018-06-10","0.65","1300000","12000000","0.3","1.2E7","No","Yes","Unavailable","None","Unavailable","Unavailable","2018-04-12","2018-04-23","0.4","Ethereum","BTC, ETH","Yes"
"ReceiptCoin","USA","2018-02-22","2018-05-22","0.2","1000000","250000000","0.5","2.5E8","Yes","No","Unavailable","None","Available","Unavailable","2018-01-21","2018-02-15","0.0524789978","Ethereum","ETH","Yes"
"VENDEX","Nigeria","2018-04-14","2018-04-29","0.1","36000000","120000000","0.6","1.2E8","Yes","Yes","Unavailable","USA, China","Available","Unavailable","2018-03-31","2018-04-13","0.08","Ethereum","ETH, BTC","Yes"
"Cura Network","Nigeria","2019-05-19","2019-08-26","0.45","5000000","15000000","0.4","2.0E8","No","No","Unavailable","USA, China","Available","Available","2019-04-07","2019-05-06","0.3","Ethereum","ETH, BTC, LTC, BCH","Yes"
"Digital Ticks","Estonia","2018-04-15","2018-06-15","189.0","5700000","30000000","0.5","6.4E7","No","No","Unavailable","USA, China, North Korea","Unavailable","Unavailable","2018-03-25","2018-04-14","157.2860961","Ethereum","BTC, ETH","Yes"
"Monart","Malta","2020-01-01","2020-02-28","0.04488332","1099723","21994460","0.66","1.0E9","Yes","Yes","Unavailable","Balkans, Belarus, Burma, Ivory coast, Cuba, Democratic Republic of Congo, Iran, Iraq, Liberia, North Korea, Sudan, Syria, Zimbabwe, and Somalia","Unavailable","Available","2019-12-01","2019-12-31","0.04404704","Ethereum","ETH","Yes"
"Tokenaire","UK","2018-10-01","2018-10-31","3.0E-4","315880","1061358","0.6","4.2E9","No","Yes","Unavailable","USA","Unavailable","Available","2018-07-14","2018-09-30","1.8828360351E-4","Waves","BTC","Yes"
"BitEsprit","UK","2018-07-01","2018-08-01","0.15","7500000","21878205","0.7","7.0E7","No","Yes","Unavailable","USA","Available","Unavailable","2018-06-01","2018-06-20","0.15","Ethereum","BTC, ETH","Yes"
"Gooreo","Turkey","2019-03-15","2019-04-30","0.01","486498","4054150","0.5","4.4E8","No","No","Unavailable","USA, China","Available","Unavailable","2018-11-18","2018-12-10","0.006","Ethereum","ETH","Yes"
"Kaiser","Kyrgyzstan","2019-01-18","2019-01-28","0.08","4407228","17628911","0.6","4.0E9","No","Yes","Unavailable","None","Unavailable","Available","2019-01-06","2019-01-17","0.06","Ethereum","ETH","Yes"
"YouToken","USA","2018-09-17","2018-11-19","0.15","3000000","50000000","0.35","1.0E9","No","Yes","Unavailable","USA, China, Korea","Available","Unavailable","2018-02-01","2018-04-01","0.1","YouToken","ETH, Fiat","Yes"
"xDeck","Hong Kong","2019-10-15","2020-05-30","0.0181406067","1817591","6058639","0.6","3.5E8","Yes","Yes","Unavailable","None","Unavailable","Unavailable","2019-04-20","2019-05-25","0.01303134495","Ethereum","ETH","No"
"Cannacor","Lesotho","2019-12-16","2020-03-31","0.12","1500000","110565000","0.78","4.095E8","No","Yes","Unavailable","America, Singapore, Lesotho","Available","Unavailable","2019-09-11","2019-12-15","0.06","Ethereum","ETH, BTC, XRP","Yes"
"EndChain","Hong Kong","2019-11-01","2020-03-31","0.24","4000000","15000000","0.55","7.4567312E7","No","No","Unavailable","None","Available","Available","2018-12-01","2019-01-15","0.16","Ethereum","BTC, ETH, BCH, LTC","Yes"
"HydroCoin","Germany","2018-04-01","2018-09-30","0.2353","20000000","500000000","0.5","5.0E8","Yes","Yes","Unavailable","None","Unavailable","Unavailable","2018-01-01","2018-03-31","0.6953768919","Ethereum","ETH, BTC, EUR, USD","Yes"
"Involve","Estonia","2018-06-01","2018-09-03","0.0048","4338885","14462950","0.38","3.5E9","No","Yes","Unavailable","None","Available","Unavailable","2018-05-01","2018-06-01","0.00561344146666667","Ethereum","ETH","Yes"
"Roburst Network","Canada","2018-03-25","2018-04-24","0.0933","10000000","50000000","0.75","3.15E8","Yes","Yes","Unavailable","China, Korea","Available","Unavailable","2018-02-24","2018-03-25","0.09813070313","New Blockchain","BTC, ETH","Yes"
"ZNAQ","UK","2018-10-01","2018-10-31","3.2","525000","20000000","0.6","60.0","No","Yes","Unavailable","USA, Canada, North Korea, South Korea, China, Singapore, Australia.","Available","Available","2018-09-01","2018-09-30","3.2","Ethereum","BTC, ETH, XRP, BCH","Yes"
"GYM Ledger","USA","2018-10-16","2018-12-31","0.4202","4000000","20000000","0.2","2.0E7","No","Yes","Unavailable","None","Available","Available","2018-10-01","2018-10-15","0.293585593","Ethereum","ETH","Yes"
"Nuclus","South Africa","2019-09-05","2019-12-31","0.009581942315","324027","2916244","0.5","5.0E8","Yes","No","Unavailable","USA","Unavailable","Unavailable","2019-07-05","2019-09-01","0.0071999382","Ethereum","ETH","Yes"
"PREVISIONe","Ukraine","2018-08-01","2018-08-28","1.0518675225","300000","25000000","0.64","6.4E7","Yes","No","Available","None","Available","Unavailable","2018-06-18","2018-07-08","1.22279747","Ethereum","ETH","Yes"
"Synapsecoin","Peru","2019-04-01","2019-05-31","0.05","3000000","18000000","0.5","4.95E8","Yes","Yes","Unavailable","Bolivia,  China, Corea del Norte","Available","Unavailable","2018-12-01","2019-03-31","0.025","Ethereum","ETH, BTC, LTC","Yes"
"USAT","Australia","2018-12-07","2019-01-31","0.215","2834000","53375000","0.5","7.625E8","Yes","Yes","Unavailable","USA, Australia","Available","Available","2018-11-28","2018-12-07","0.034","Ethereum","ETH","Yes"
"Re:Factor","Singapore","2018-09-18","2018-12-18","0.0292","505562","10111245","0.72","7.2E8","Yes","Yes","Unavailable","USA","Unavailable","Unavailable","2018-07-08","2018-08-12","0.0364182344159544","Ethereum","ETH, BTC, LTC","Yes"
"Burency","United Arab Emirates","2020-01-04","2020-02-15","0.14","20000000","50000000","0.64","4.48E8","No","Yes","Unavailable","USA, North Korea, Singapoure","Unavailable","Unavailable","2019-11-25","2020-01-03","0.1","Ethereum","ETH, BTC, FIAT, USDT, XRP, XLM, BCH, LTC","Yes"
"DateCoin","Belize","2018-03-30","2018-05-30","0.141","4000000","20000000","0.65","3.03E8","Yes","Yes","Unavailable","USA","Unavailable","Available","2017-11-29","2017-12-29","0.07481652675","Ethereum","ETH, BTC","Yes"
"Impala","Mauritius","2018-10-01","2019-03-31","0.18","1000000","50000000","0.65","1.755E8","Yes","Yes","Unavailable","USA, China","Unavailable","Unavailable","2018-11-01","2018-12-31","0.15","Stellar","ETH, BTC, XLM, Fiat","Yes"
"MONETO","Switzerland","2018-06-10","2018-07-10","0.5265","1086060","10860600","0.7","3.003125E7","No","Yes","Unavailable","U.S. CITIZENS","Available","Unavailable","2018-04-17","2018-05-17","0.4023152096","Ethereum","ETH","Yes"
"OpenBrix","UK","2018-09-01","2018-12-01","295.34","1000","25000000","0.25","1.25E8","Yes","Yes","Unavailable","USA","Available","Unavailable","2018-07-08","2018-08-31","0.202145712857143","Ethereum","ETH, BTC, Fiat","Yes"
"SportGift","Ecuador","2019-07-01","2019-09-15","0.05","600000","3000000","0.52","5.2E8","No","No","Unavailable","Any","Unavailable","Unavailable","2019-04-01","2019-06-15","0.03","Ethereum","ETH","Yes"
"Akaiito","Estonia","2018-03-13","2018-05-16","0.68","883812","17676249","0.75","2.25E7","No","No","Unavailable","None","Available","Unavailable","2018-02-12","2018-02-25","0.86870697","Ethereum","ETH, BTC, LTC","Yes"
"GOTOGOD","Luxembourg","2019-07-01","2019-10-31","0.03","3000000","10500000","0.545","5.45E8","No","Yes","Unavailable","USA, CHINA","Unavailable","Unavailable","2019-06-21","2019-06-30","0.01","Ethereum","ETH","Yes"
"MiMiner","Singapore","2018-11-24","2018-12-25","2.0","3000000","37000000","0.87","2.0E7","No","Yes","Unavailable","USA, Singapore, North Korea, Iran","Available","Available","2018-09-25","2018-11-22","1.0","Ethereum","ETH","Yes"
"Cosmecoin","UK","2018-05-10","2018-11-10","0.037","2613354","6533385","0.6","3.0E8","Yes","Yes","Unavailable","USA, Italy, Germany, Spain, Canada, Japan, China, Korea, South Africa","Unavailable","Unavailable","2018-04-17","2018-05-09","0.0111","Ethereum","ETH, BTC, LTC, USD, GBP, EUR","Yes"
"Crypton","Estonia","2018-04-27","2018-06-09","1.0","5000000","50000000","0.7","5.04E7","Yes","Yes","Available","China, Korea, USA, Singapure","Available","Unavailable","2018-03-29","2018-04-26","0.7","Ethereum","BTC, ETH","Yes"
"Gamelife","Indonesia","2019-01-25","2019-02-24","0.03","67926","203778","0.7","7000000.0","No","No","Unavailable","China","Available","Unavailable","2019-01-09","2019-01-23","0.0293631515","Ethereum","ETH","Yes"
"NAM","Hong Kong","2018-05-20","2018-08-20","0.0163","10000000","200000000","0.5","2.0E10","No","Yes","Unavailable","None","Unavailable","Unavailable","2018-01-29","2018-03-28","0.0335316634525396","Ethereum","ETH","Yes"
"ARRM","Belarus","2017-11-16","2017-12-18","0.08","19114199","191141992","0.75","7.5E7","Not Specified","Not Specified","Unavailable","None","Unavailable","Unavailable","2017-11-02","2017-11-06","0.70785","Ethereum","BTC, ETH","Yes"
"BFEX","Hong Kong","2019-01-01","2019-02-28","0.5","12000000","36000000","0.5","1.05E8","No","Yes","Unavailable","None","Available","Unavailable","2018-12-01","2018-12-31","0.3","Ethereum","ETH","Yes"
"OTPPAY","India","2018-04-04","2018-06-08","0.037","751346","42826738","0.6","6.0E8","No","Yes","Unavailable","None","Unavailable","Unavailable","2018-03-05","2018-04-03","0.0533552513125","Ethereum","ETH","Yes"
"Robotina","Slovenia","2018-03-21","2018-04-30","0.05","10000000","28500000","0.7","5.705E8","No","Yes","Unavailable","USA (only accredited investors can participate)","Available","Unavailable","2018-02-21","2018-03-21","0.048","Ethereum","ETH","Yes"
"Biogen","Ireland","2019-04-01","2019-09-30","0.0574","3000000","400000000","0.4","2.0E9","No","No","Unavailable","USA, China","Unavailable","Unavailable","2019-03-01","2019-03-31","0.0545774476","Ethereum","ETH","Yes"
"PORNX","Singapore","2018-05-01","2018-06-30","0.224537658666667","2275899","13655399","0.7","2.38E8","Yes","No","Unavailable","USA, Cayman Islands","Unavailable","Unavailable","2018-02-11","2018-02-25","0.3","Ethereum","ETH, BTC, BCH, XRP, DASH, LTC","Yes"
"Starflow","Singapore","2018-07-04","2018-11-30","0.1335","16000000","5683129","0.5","2.0E8","Yes","Yes","Unavailable","USA, China, Singapore","Unavailable","Unavailable","2018-03-05","2018-07-03","0.0947336748979592","Ethereum","ETH","Yes"
"Telescopia","Egypt","2020-09-01","2020-11-01","0.48","4800000","29600000","0.517","9.0451461E7","No","Yes","Unavailable","USA","Unavailable","Available","2020-06-01","2020-06-30","0.19","Ethereum","ETH, USD","Yes"
"WPP","Switzerland","2018-09-20","2018-12-31","0.065","5000000","50000000","0.5","2.25E8","No","No","Unavailable","USA","Available","Available","2018-07-15","2018-09-15","0.0826200018518519","Ethereum","ETH, BTC, LTC","Yes"
"BiteCoin Network","France","2018-07-12","2018-08-30","0.0043","1392114","14205250","0.7","4.9E9","No","Yes","Unavailable","None","Unavailable","Unavailable","2018-05-06","2018-06-30","0.00792310974","Ethereum","ETH","Yes"
"Hashgains","India","2018-02-17","2018-04-30","0.72","7000000","30000000","0.5","2.5E7","No","Yes","Unavailable","None","Unavailable","Unavailable","2018-01-26","2018-02-11","0.7","Ethereum",,"Yes"
"HexanCoin","India","2019-02-20","2019-05-10","0.15","692570","3809140","0.5","1.1E8","No","Yes","Unavailable","China, USA","Available","Unavailable","2019-01-10","2019-02-15","0.11","Ethereum","BTC, ETH","Yes"
"StabiX","Switzerland","2018-08-01","2018-09-01","11.3012","5600000","22500000","0.73","730000.0","Yes","Yes","Unavailable","USA","Unavailable","Unavailable","2018-04-15","2018-04-30","10.63404052","Ethereum","ETH","No"
"Cryptics","Estonia","2018-08-27","2018-09-24","0.2327","4000000","20000000","0.66","6.6E7","Yes","No","Unavailable","USA, China","Available","Available","2018-06-25","2018-08-26","0.460309998","Ethereum","ETH","Yes"
"Open Collectors Network","Romania","2018-10-07","2018-11-04","0.0362","500000","6500000","0.65","9.75E7","Yes","Yes","Unavailable","None","Available","Unavailable","2018-08-05","2018-09-30","0.0235","Ethereum","ETH","Yes"
"CZero","India","2018-07-11","2018-07-23","0.0911","350000","20000000","0.5710000000000001","2.0E8","Yes","No","Unavailable","None","Unavailable","Unavailable","2018-06-10","2018-07-10","0.15","Ethereum","ETH","No"
"CashBet","USA","2018-04-10","2018-04-27","0.75","5000000","142975000","0.3325","1.42975E8","Yes","Yes","Unavailable","China, Cuba, Iran, North Korea, Syria, Crimea","Unavailable","Unavailable","2018-01-24","2018-02-20","0.42","Ethereum","ETH, BTC, LTC","Yes"
"LOVE Token","India","2018-03-02","2018-03-31","0.404","39645","396457","0.05","500000.0","No","Yes","Unavailable","All countries which have restricted their people to use cryptocurrency for trading, investing, holding, etc.","Unavailable","Unavailable","2018-02-14","2018-02-28","0.461780487","Ethereum","ETH","Yes"
"Libellum","Hong Kong","2018-11-16","2018-12-15","0.1","253322","1266612","0.5","5.0E7","Yes","Yes","Unavailable","USA, Singapore, Vietnam, China","Unavailable","Unavailable","2018-09-01","2018-09-30","0.08","Ethereum","ETH","Yes"
"Triffic","British Virgin Islands","2019-01-28","2019-03-29","0.05","100000","12000000","0.4","4.0E8","Yes","Yes","Unavailable","USA","Unavailable","Unavailable","2018-12-03","2018-12-17","0.04","Ardor","BTC, ETH, ARDR","Yes"
"Titancore","Sweden","2019-04-15","2019-08-01","0.01","1000000","10000000","0.4","1.0E10","No","No","Unavailable","USA","Available","Unavailable","2019-03-16","2019-04-14","0.005","Ethereum","BTC, ETH","Yes"
"Energy Premier","Switzerland","2018-09-21","2018-10-31","3.0E-4","5000000","34050000","0.6","1.2E8","No","Yes","Unavailable","USA, Korea, Algeria, Iran","Unavailable","Unavailable","2018-02-07","2018-09-20","3.0E-4","Ethereum","ETH","Yes"
"GGPRO","Malta","2018-11-01","2019-01-01","0.0846","1408194","4224582","0.7","7.0E7","Yes","No","Available","USA","Unavailable","Available","2018-09-26","2018-10-30","0.0423362508","Ethereum","BTC, ETH, LTC","Yes"
"Housinet","Estonia","2020-01-13","2020-03-22","0.01","1000000","20000000","0.3","1.0E10","No","No","Unavailable","None","Available","Unavailable","2019-12-02","2020-01-12","0.005","Ethereum","ETH, BTC, LTC, BCH","Yes"
"REOS","Singapore","2018-10-15","2019-01-15","0.0042","610163","5491472","0.5","5.0E9","No","Yes","Unavailable","USA, China, Canada, South Korea","Available","Unavailable","2018-04-27","2018-10-14","0.00806916016","Ethereum","ETH, BTC","Yes"
"XchangeRate","Seychelles","2018-04-06","2018-06-09","0.059","1195124","10756116","0.8","2.0E8","No","No","Unavailable","USA, China, Singapore","Available","Available","2018-03-20","2018-04-05","0.0278587494","Ethereum","ETH, BTC","Yes"
