"name","country","ico_start","ico_end","price_usd","soft_cap_usd","hard_cap_usd","distributed_in_ico","token_for_sale","whitelist","kyc","bonus","restricted_areas","bounty","mvp","pre_ico_start","pre_ico_end","pre_ico_price_usd","platform","accepting","link_provided"
"Decem","Slovenia","2018-04-30","2018-06-10","0.015","4000000","10350000","0.94","9.4E8","Yes","Yes","Unavailable","None","Unavailable","Available","2018-06-15","2018-08-20","0.01125","Ethereum","ETH","Yes"
"Fieldcoin","UK","2020-01-15","2020-04-15","0.05","3000000","31000000","0.79","7.9E8","No","Yes","Unavailable","USA, China","Available","Available","2019-11-14","2020-01-13","0.05","Ethereum","ETH","Yes"
"LeoPays","Estonia","2018-09-16","2018-11-11","0.0882","845359","8453599","0.146","1.46E8","No","No","Unavailable","None","Available","Available","2018-07-16","2018-09-09","0.096131598","Ethereum","ETH, BTC, Fiat","Yes"
"Nagricoin","Ireland","2018-05-28","2018-09-01","0.1","500000","22000000","0.82","3.0E8","Yes","Yes","Unavailable","USA, Singapore","Available","Available","2018-04-02","2018-05-24","0.05","Ethereum","ETH, BTC","Yes"
"Bitdepositary","Malta","2018-08-29","2018-11-14","0.1","1000000","50000000","0.63","7.5E8","Yes","Yes","Unavailable","Iran, North Korea, Syria, Sudan, Cuba","Unavailable","Unavailable","2018-08-01","2018-08-29","0.05","Ethereum","ETH, BTC, LTC, BCH, EOS, DASH, PAYPAL","Yes"
"Diagon","Cyprus","2020-01-20","2020-06-30","0.2","1000000","4500000","0.75","3.0E7","Yes","No","Unavailable","USA","Available","Available","2019-09-16","2020-01-19","0.12","Ethereum","ETH, BTC","Yes"
"CrowdShareMining","Thailand","2018-06-10","2018-09-01","1.0","2000000","7200000","0.72","7200000.0","No","No","Unavailable","None","Unavailable","Unavailable","2018-04-25","2018-05-31","1.0","Ethereum","ETH, BTC, BCH, LTC","Yes"
"DNAtix","Israel","2018-11-15","2018-12-15","0.8","1000000","45000000","0.53","8.0E7","Yes","Yes","Unavailable","USA, China, Israel","Unavailable","Unavailable","2018-08-15","2018-11-14","0.4","Ethereum","ETH, BTC","Yes"
"Plosive","USA","2020-04-28","2020-05-05","8.0E-5","3000000","6000000","0.5","5.0E10","No","No","Unavailable","None","Unavailable","Unavailable","2020-03-31","2020-04-07","8.0E-5","Ethereum","ETH","Yes"
"Switcoin","Netherlands","2018-06-30","2018-08-11","0.01","30000000","60000000","0.7","7.0E7","No","Yes","Unavailable","China","Unavailable","Unavailable","2018-05-12","2018-06-09","0.01","Ethereum","ETH, BTC","Yes"
"Grow Token (GRWT)","Philippines","2019-04-25","2019-05-25","1.0E-4","75527","176231","0.75","3.0E7","No","No","Unavailable","None","Unavailable","Available","2019-04-15","2019-04-25","0.00807870865","Ethereum","ETH","Yes"
"HAI Project","Switzerland","2018-05-14","2018-06-28","0.21","2323007","10559124","0.8","8.0E7","No","Yes","Unavailable","USA, China","Unavailable","Unavailable","2018-04-30","2018-05-13","0.2679696044","Ethereum","ETH","Yes"
"MYDFS","Ireland","2018-10-15","2018-11-16","1.0","4000000","20000000","0.2","2.5E7","Yes","Yes","Available","USA, China, Singapore","Available","Available","2018-04-16","2018-05-06","0.7","Ethereum","ETH, BTC","Yes"
"Neurochain","France","2018-03-19","2018-04-15","0.116","9247275","36989100","0.09","2.79257833E8","Yes","Yes","Unavailable","China","Unavailable","Unavailable","2018-02-20","2018-03-12","0.09918912","Neurochain","BTC, ETH","Yes"
"Petal","India","2018-06-01","2018-06-30","1.31","22758","113794","0.7","700000.0","No","No","Unavailable","None","Unavailable","Unavailable","2018-05-15","2018-05-30","2.126612916","Ethereum",,"Yes"
"Signature Token","Austria","2019-12-06","2020-01-31","0.00149194443","1351201","9008008","0.56","5.5E9","No","Yes","Unavailable","None","Unavailable","Unavailable","2019-10-18","2019-11-17","0.001480953856","NEO","NEO, ETH","Yes"
"HuniBIT","South Korea","2018-08-01","2018-08-15","0.0021","1000000","2000000","0.525","2.1E10","Yes","Yes","Unavailable","North Korea","Unavailable","Unavailable","2018-07-16","2019-07-31","0.00192263196","Ethereum","ETH","Yes"
"IceBreakerAR","Canada","2018-10-15","2018-11-15","0.09","3000000","17900000","0.67","2.125E8","No","Yes","Unavailable","China","Available","Unavailable","2018-08-01","2018-08-14","0.09","Ethereum","BTC, ETH, LTC, Fiat","Yes"
"Teledactyl","USA","2018-08-11","2018-09-18","0.0105","10000000","25000000","0.7","7.0E8","Yes","No","Unavailable","None","Unavailable","Unavailable","2018-07-03","2018-08-10","3.72186621108","Waves","BTC","Yes"
"Transmutecoin","Estonia","2020-04-16","2020-07-15","0.089","10000000","98000000","0.7","1.4E9","No","Yes","Unavailable","North Korea","Available","Unavailable","2019-03-15","2020-04-15","0.072","Ethereum","ETH","Yes"
"AbacasXchange","Panama","2018-06-15","2018-07-15","1.4","2805000","32187500","0.55","3.0E7","No","Yes","Available","USA","Available","Unavailable","2018-04-01","2018-04-30","0.98","Ethereum","ETH, BTC","Yes"
"Belotto","Belize","2018-05-31","2018-08-30","0.2","1000000","10000000","0.6","7.2E8","No","Yes","Unavailable","None","Available","Unavailable","2018-05-26","2018-05-31","0.14","Ethereum","ETH","Yes"
"Bittrace","UK","2018-12-01","2019-04-15","0.8","10000000","65000000","0.625","1.25E8","Yes","Yes","Unavailable","None","Unavailable","Available","2018-10-20","2018-11-30","0.03333333","Ethereum","ETH, BTC, LTC, BTH","Yes"
"Blockhipo","Singapore","2018-12-03","2019-01-17","4.0E-4","86619","278419","0.6","1.2E9","No","No","Unavailable","USA, China","Available","Unavailable","2018-11-17","2018-12-02","3.48002014E-4","Ethereum","ETH","Yes"
